 ALMO SCF CG       0         -29.4695098095  -0.29470E+02   0.184222256     1.43
 ALMO SCF LS       1         -29.6309222792   0.00000E+00   0.155840204     1.43
 ALMO SCF LS       2         -30.5226108682   0.00000E+00   0.114892503     1.43
 ALMO SCF CG       3         -30.5510437849  -0.10815E+01   0.129576265     1.43
 ALMO SCF LS       4         -30.8291689086   0.00000E+00   0.090619100     1.43
 ALMO SCF CG       5         -30.8291818257  -0.27814E+00   0.090581274     1.43
 ALMO SCF LS       6         -30.9321939500   0.00000E+00   0.049113250     1.43
 ALMO SCF CG       7         -30.9350349765  -0.10585E+00   0.050651698     1.43
 ALMO SCF LS       8         -30.9952088649   0.00000E+00   0.035560996     1.43
 ALMO SCF CG       9         -30.9957581230  -0.60723E-01   0.034202677     1.43
 ALMO SCF LS      10         -31.0242955347   0.00000E+00   0.021476031     1.42
 ALMO SCF CG      11         -31.0267868166  -0.31029E-01   0.024229089     1.43
 ALMO SCF LS      12         -31.0349512757   0.00000E+00   0.010428188     1.43
 ALMO SCF CG      13         -31.0357698028  -0.89830E-02   0.010065651     1.43
 ALMO SCF LS      14         -31.0382238689   0.00000E+00   0.009067777     1.43
 ALMO SCF CG      15         -31.0384557975  -0.26860E-02   0.007515716     1.43
 ALMO SCF LS      16         -31.0400667880   0.00000E+00   0.006408985     1.43
 ALMO SCF CG      17         -31.0400774212  -0.16216E-02   0.006339211     1.43
 ALMO SCF LS      18         -31.0411365735   0.00000E+00   0.005766701     1.42
 ALMO SCF CG      19         -31.0411490713  -0.10717E-02   0.005753832     1.43
 ALMO SCF LS      20         -31.0417979155   0.00000E+00   0.002795149     1.43
 ALMO SCF CG      21         -31.0418106735  -0.66160E-03   0.003303151     1.43
 ALMO SCF LS      22         -31.0420151245   0.00000E+00   0.001861034     1.43
 ALMO SCF CG      23         -31.0420625081  -0.25183E-03   0.001569778     1.43
 ALMO SCF LS      24         -31.0421160946   0.00000E+00   0.001485182     1.43
 ALMO SCF CG      25         -31.0421258276  -0.63320E-04   0.001215127     1.43
 ALMO SCF LS      26         -31.0421541750   0.00000E+00   0.000844647     1.43
 ALMO SCF CG      27         -31.0421592434  -0.33416E-04   0.000838491     1.43
 ALMO SCF LS      28         -31.0421756243   0.00000E+00   0.000379051     1.43
 ALMO SCF CG      29         -31.0421751003  -0.15857E-04   0.000426609     1.43
 ALMO SCF LS      30         -31.0421785226   0.00000E+00   0.000235350     1.42
 ALMO SCF CG      31         -31.0421787124  -0.36121E-05   0.000238134     1.43
 ALMO SCF LS      32         -31.0421798633   0.00000E+00   0.000126216     1.43
 ALMO SCF CG      33         -31.0421799084  -0.11960E-05   0.000117188     1.43
 ALMO SCF LS      34         -31.0421800279   0.00000E+00   0.000097812     1.43
 ALMO SCF CG      35         -31.0421801207  -0.21228E-06   0.000069329     1.43
 ALMO SCF LS      36         -31.0421802228   0.00000E+00   0.000071284     1.43
 ALMO SCF CG      37         -31.0421802347  -0.11401E-06   0.000064656     1.43
 ALMO SCF LS      38         -31.0421802979   0.00000E+00   0.000038500     1.43
 ALMO SCF CG      39         -31.0421802893  -0.54602E-07   0.000040312     1.43
 ALMO SCF LS      40         -31.0421803123   0.00000E+00   0.000023091     1.43
 ALMO SCF CG      41         -31.0421803098  -0.20448E-07   0.000027391     1.43
 ALMO SCF LS      42         -31.0421803137   0.00000E+00   0.000025598     1.42
 ALMO SCF CG      43         -31.0421803177  -0.79693E-08   0.000020726     1.43
 ALMO SCF LS      44         -31.0421803205   0.00000E+00   0.000019415     1.43
 ALMO SCF CG      45         -31.0421803217  -0.39417E-08   0.000018552     1.43
 ALMO SCF CG      46         -31.0421803231  -0.39417E-08   0.000009886     1.42

